"group","outcome"
"Control",6.18134318015184
"Control",4.97156805850323
"Control",-8.91071803429628
"Control",9.978980222237
"Control",3.57477166957039
"Control",8.87292838878435
"Control",4.00796574134401
"Control",-3.18338312741966
"Control",2.37709280772386
"Control",6.72594539684617
"Control",4.83227497768327
"Control",0.875343201418277
"Control",-0.406510406077967
"Control",-0.352517378430567
"Control",-3.53779966745529
"Control",-11.1751193707079
"Control",-3.54354641981338
"Control",3.17493213484366
"Control",16.0887269649703
"Control",0.054056308363929
"Control",-7.88445845942965
"Control",-2.71222104519071
"Control",-0.434740172563266
"Control",-10.5334889229866
"Control",8.46419689184956
"Control",-3.61478127684079
"Control",7.48607880208169
"Control",-5.8031222946407
"Control",-0.234093803055546
"Control",-2.52321506909078
"Control",1.19015647138969
"Control",-3.65635781386414
"Control",-0.252696826901003
"Control",2.13751206639531
"Control",6.56338468181379
"Control",-5.27343426143389
"Control",-7.05625953727388
"Control",-7.0740810252649
"Control",-2.27786500905934
"Control",11.1119939577962
"Control",2.16362892604261
"Control",2.10194534640157
"Control",-0.31852750253952
"Control",2.77022643672265
"Control",-4.33891674037049
"Treatment",-3.97256226643256
"Treatment",4.93850606854917
"Treatment",-2.13975502701225
"Treatment",-1.24035752589194
"Treatment",0.552105342934676
"Treatment",2.5504317136981
"Treatment",5.20029857542897
"Treatment",-2.93051078382171
"Treatment",2.54335658424753
"Treatment",12.8021349613152
"Treatment",10.5659389832124
"Treatment",4.44985898890958
"Treatment",-0.961255838263035
"Treatment",-2.95739260095165
"Treatment",2.53711113789024
"Treatment",-0.0579738924677486
"Treatment",2.44614696269804
"Treatment",6.33574402549056
"Treatment",-0.671655501478401
"Treatment",4.82355966231147
"Treatment",1.08333219267173
"Treatment",3.82403595781892
"Treatment",3.55297123167991
"Treatment",0.755884542058507
"Treatment",14.6312281904016
"Treatment",0.299767982658167
"Treatment",-2.22478794324408
"Treatment",4.52230040341674
"Treatment",8.50746523142027
"Treatment",9.66680405597834
"Treatment",4.60012099570069
"Treatment",-3.36311379306465
"Treatment",7.38166395355146
"Treatment",-2.00203096334456
"Treatment",8.23288832351887
"Treatment",2.66109643301797
"Treatment",9.92089171370444
"Treatment",-3.75332904829862
"Treatment",-1.8726449433999
"Treatment",7.30310111154607
"Treatment",6.19157890195946
"Treatment",6.57472271623803
"Treatment",-3.70702889915848
"Treatment",-0.317583065872642
"Treatment",-2.73902785056866
