"group","outcome"
"Control",6.18134318015184
"Control",4.97156805850323
"Control",-8.91071803429628
"Control",9.978980222237
"Control",3.57477166957039
"Control",8.87292838878435
"Control",4.00796574134401
"Control",-3.18338312741966
"Control",2.37709280772386
"Control",6.72594539684617
"Control",4.83227497768327
"Control",0.875343201418277
"Control",-0.406510406077967
"Control",-0.352517378430567
"Control",-3.53779966745529
"Control",-11.1751193707079
"Control",-3.54354641981338
"Control",3.17493213484366
"Control",16.0887269649703
"Control",0.054056308363929
"Control",-7.88445845942965
"Control",-2.71222104519071
"Control",-0.434740172563266
"Control",-10.5334889229866
"Control",8.46419689184956
"Control",-3.61478127684079
"Control",7.48607880208169
"Control",-5.8031222946407
"Control",-0.234093803055546
"Control",-2.52321506909078
"Control",1.19015647138969
"Control",-3.65635781386414
"Control",-0.252696826901003
"Control",2.13751206639531
"Control",6.56338468181379
"Control",-5.27343426143389
"Control",-7.05625953727388
"Control",-7.0740810252649
"Control",-2.27786500905934
"Control",11.1119939577962
"Control",2.16362892604261
"Control",2.10194534640157
"Control",-0.31852750253952
"Control",2.77022643672265
"Control",-4.33891674037049
"Treatment",-5.97256226643256
"Treatment",2.93850606854917
"Treatment",-4.13975502701225
"Treatment",-3.24035752589194
"Treatment",-1.44789465706532
"Treatment",0.550431713698096
"Treatment",3.20029857542897
"Treatment",-4.93051078382171
"Treatment",0.543356584247533
"Treatment",10.8021349613152
"Treatment",8.56593898321245
"Treatment",2.44985898890958
"Treatment",-2.96125583826303
"Treatment",-4.95739260095165
"Treatment",0.537111137890241
"Treatment",-2.05797389246775
"Treatment",0.446146962698043
"Treatment",4.33574402549056
"Treatment",-2.6716555014784
"Treatment",2.82355966231147
"Treatment",-0.916667807328272
"Treatment",1.82403595781892
"Treatment",1.55297123167991
"Treatment",-1.24411545794149
"Treatment",12.6312281904016
"Treatment",-1.70023201734183
"Treatment",-4.22478794324408
"Treatment",2.52230040341674
"Treatment",6.50746523142027
"Treatment",7.66680405597834
"Treatment",2.60012099570069
"Treatment",-5.36311379306465
"Treatment",5.38166395355146
"Treatment",-4.00203096334456
"Treatment",6.23288832351887
"Treatment",0.66109643301797
"Treatment",7.92089171370444
"Treatment",-5.75332904829862
"Treatment",-3.8726449433999
"Treatment",5.30310111154607
"Treatment",4.19157890195946
"Treatment",4.57472271623803
"Treatment",-5.70702889915848
"Treatment",-2.31758306587264
"Treatment",-4.73902785056866
