"group","outcome"
"Control",8.65388045221258
"Control",6.96019528190453
"Control",-12.4750052480148
"Control",13.9705723111318
"Control",5.00468033739855
"Control",12.4220997442981
"Control",5.61115203788162
"Control",-4.45673637838753
"Control",3.32792993081341
"Control",9.41632355558464
"Control",6.76518496875658
"Control",1.22548048198559
"Control",-0.569114568509154
"Control",-0.493524329802794
"Control",-4.95291953443741
"Control",-15.6451671189911
"Control",-4.96096498773873
"Control",4.44490498878112
"Control",22.5242177509584
"Control",0.0756788317095007
"Control",-11.0382418432015
"Control",-3.797109463267
"Control",-0.608636241588572
"Control",-14.7468844921812
"Control",11.8498756485894
"Control",-5.06069378757711
"Control",10.4805103229144
"Control",-8.12437121249698
"Control",-0.327731324277765
"Control",-3.53250109672708
"Control",1.66621905994557
"Control",-5.1189009394098
"Control",-0.353775557661404
"Control",2.99251689295343
"Control",9.18873855453931
"Control",-7.38280796600744
"Control",-9.87876335218344
"Control",-9.90371343537086
"Control",-3.18901101268308
"Control",15.5567915409146
"Control",3.02908049645965
"Control",2.9427234849622
"Control",-0.445938503555328
"Control",3.87831701141171
"Control",-6.07448343651868
"Treatment",-6.76158717300559
"Treatment",5.71390849596884
"Treatment",-4.19565703781716
"Treatment",-2.93650053624872
"Treatment",-0.427052519891454
"Treatment",2.37060439917733
"Treatment",6.08041800560056
"Treatment",-5.30271509735039
"Treatment",2.36069921794655
"Treatment",16.7229889458412
"Treatment",13.5923145764974
"Treatment",5.02980258447341
"Treatment",-2.54575817356825
"Treatment",-5.34034964133232
"Treatment",2.35195559304634
"Treatment",-1.28116344945485
"Treatment",2.22460574777726
"Treatment",7.67004163568678
"Treatment",-2.14031770206976
"Treatment",5.55298352723606
"Treatment",0.316665069740419
"Treatment",4.15365034094648
"Treatment",3.77415972435187
"Treatment",-0.141761641118089
"Treatment",19.2837194665623
"Treatment",-0.780324824278566
"Treatment",-4.31470312054171
"Treatment",5.13122056478344
"Treatment",10.7104513239884
"Treatment",12.3335256783697
"Treatment",5.24016939398096
"Treatment",-5.90835931029051
"Treatment",9.13432953497205
"Treatment",-4.00284334868238
"Treatment",10.3260436529264
"Treatment",2.52553500622516
"Treatment",12.6892483991862
"Treatment",-6.45466066761806
"Treatment",-3.82170292075987
"Treatment",9.0243415561645
"Treatment",7.46821046274325
"Treatment",8.00461180273324
"Treatment",-6.38984045882187
"Treatment",-1.6446162922217
"Treatment",-5.03463899079613
